run,lam,w_std,c_std,rep,off_rho_std,wq_Short,wq_Standard,wq_Long,rho_Short,rho_Standard,rho_Long,pb_Short,pb_Standard,pb_Long,pb_total
8,60,0.8,80,1,1.2,3e-06,2.852808,0.000429,0.37829,1.0,0.564173,0.0,0.162751,0.0,0.130158
8,60,0.8,80,2,1.2,2.6e-05,2.889058,0.000127,0.37658,1.0,0.562456,0.0,0.175003,0.0,0.140334
8,60,0.8,80,3,1.2,0.000261,2.845152,0.000265,0.37104,1.0,0.570984,0.0,0.160517,0.0,0.128296
8,60,0.8,80,4,1.2,7.8e-05,2.881383,0.000327,0.369692,1.0,0.56559,0.0,0.170253,0.0,0.136298
8,60,0.8,80,5,1.2,0.0,2.897383,0.00029,0.372018,1.0,0.568649,0.0,0.174316,0.0,0.13936
8,60,0.8,80,6,1.2,0.000122,2.869438,7e-05,0.373926,1.0,0.567078,0.0,0.165575,0.0,0.132469
8,60,0.8,80,7,1.2,3.2e-05,2.869178,0.000439,0.378971,1.0,0.557304,0.0,0.166197,0.0,0.132914
8,60,0.8,80,8,1.2,0.000208,2.839508,0.000248,0.382008,1.0,0.56064,0.0,0.16009,0.0,0.127883
8,60,0.8,80,9,1.2,3.4e-05,2.846198,0.000114,0.370168,1.0,0.55292,0.0,0.163008,0.0,0.130461
8,60,0.8,80,10,1.2,0.000104,2.845118,0.0005,0.37319,1.0,0.559906,0.0,0.163004,0.0,0.130409
